Point:704   (7505.5,18941) office38
Point:95   (7507.5,13543.5) office38
Point:770   (7510,21316.5) house
Point:787   (7512,21957) office38
Point:94   (7512.5,13488.5) house
Point:765   (7517.5,21137) office38
Point:757   (7520,20948) office38
Point:771   (7547,21350) house
Point:703   (7559.5,18864) office38
Point:796   (7563.5,23038.5) office38
Point:766   (7567.5,21137) office38
Point:773   (7569.5,21400.5) office38
Point:758   (7575.5,20811) office38
Point:89   (7587.5,12567.5) house
Point:774   (7591.5,21328) house
Point:753   (7595.5,20677) office38
Point:775   (7598,21454.5) house
Point:767   (7600.5,21030) office38
Point:705   (7609.5,18864) office38
Point:707   (7613.5,19004) office38
Point:769   (7617.5,21137) office38
Point:759   (7625.5,20811) office38
Point:716   (7629.5,20331.5) office38
Point:754   (7645.5,20677) office38
Point:706   (7659.5,18864) office38
Point:708   (7663.5,19004) office38
Point:768   (7665,21077) office38
Point:717   (7685.5,20443) office38
Point:90   (7690.5,12602) house
Point:96   (7693,13619) house
Point:755   (7695.5,20677) office38
Point:789   (7707.5,21777) shoppingmall
Point:78   (7709,10369.5) university
Point:709   (7709.5,18864) office38
Point:710   (7713.5,19004) office38
Point:108   (7733.5,15416) house
Point:722   (7735.5,20443) office38
Point:776   (7743.5,20550) office38
Point:105   (7751.5,14721) house
Point:721   (7771,20327.5) university
Point:109   (7783.5,15416) house
Point:106   (7801.5,14721) house
Point:778   (7834.5,21165) office38
Point:107   (7851.5,14721) house
Point:91   (7866,12673.5) house
Point:790   (7876,22062.5) office38
Point:777   (7913.5,20501.5) office38
Point:718   (7921.5,19919) office38
Point:719   (7971.5,19919) office38
Point:791   (7985.5,22139) office38
Point:686   (8057.5,16920) office24
Point:720   (8081,19921.5) house
Point:98   (8097.5,13654) office38
Point:687   (8107.5,16920) shoppingmall
Point:798   (8109.5,28060) hotel
Point:97   (8134.5,13575) office38
Point:101   (8136,14322) office38
Point:99   (8147.5,13654) shoppingmall
Point:799   (8179,29140) house
Point:100   (8197.5,13654) hotel
Point:863   (8281.5,22179) house
Point:864   (8331.5,22179) house
Point:865   (8381.5,22179) house
Point:800   (8449,17906) office38
Point:801   (8505.5,17946) office38
Point:802   (8538.5,18019.5) hospital
Point:1324   (8613,28197) shoppingmall
Point:873   (8633.5,23230.5) university
Point:803   (8655.5,18194) office38
Point:805   (8674.5,18291) office38
Point:204   (8676,14881) house
Point:128   (8699.5,10051.5) university
Point:804   (8705.5,18194) office38
Point:866   (8722,22351.5) house
Point:862   (8740,21080) house
Point:867   (8770.5,22386.5) house
Point:138   (8902.5,10908) house
Point:140   (8924.5,10973) house
Point:139   (8952.5,10908) house
Point:205   (8986.5,15724) house
Point:141   (9002.5,10908) house
Point:1311   (9140.5,24991) house
Point:1312   (9140.5,25041) house
Point:874   (9218,24586.5) shoppingmall
Point:142   (9261.5,10296) house
